AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	2578944 	315392 	21760 	89088 	11328 	13376 	36816 	2000 	3376 	7088 	0 	0
	Horz 	0 	256 	0 	384 	64 	192 	96 	16 	16 	0 	0 	0
	Vert 	256 	256 	0 	128 	0 	0 	368 	0 	16 	0 	0 	0
64x64 	None 	297472 	9216 	4096 	15872 	1088 	960 	5744 	688 	976 	2576 	0 	0
	Horz 	10496 	19456 	0 	1920 	704 	0 	1456 	96 	80 	96 	0 	0
	Vert 	39680 	2048 	1280 	5184 	640 	320 	1824 	96 	128 	256 	0 	0
32x32 	None 	57664 	3200 	1984 	13440 	384 	448 	1504 	32 	80 	176 	0 	0
	Horz 	7680 	2944 	448 	2944 	768 	128 	2976 	352 	160 	288 	0 	0
	Vert 	17216 	896 	1472 	5824 	320 	576 	3088 	304 	480 	416 	0 	0
16x16 	None 	9568 	1632 	624 	2432 	176 	224 	3408 	208 	240 	352 	0 	0
	Horz 	2896 	544 	368 	1952 	64 	192 	2192 	560 	320 	1792 	0 	0
	Vert 	3904 	656 	448 	1952 	144 	128 	2656 	336 	480 	1680 	0 	0
8x8 	None 	520 	84 	28 	328 	0 	24 	252 	88 	56 	776 	0 	0
	Horz 	56 	20 	0 	52 	0 	4 	112 	56 	8 	544 	0 	0
	Vert 	64 	8 	4 	104 	0 	4 	60 	36 	28 	456 	0 	0
4x4 	None 	16 	0 	0 	28 	0 	0 	8 	12 	4 	112 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
