AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	148480 	9216 	8192 	13696 	2688 	896 	18672 	4560 	4368 	18608 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	624640 	79872 	71680 	112448 	13376 	11072 	72480 	12144 	12656 	50496 	0 	0
	Horz 	87552 	64512 	10240 	94528 	35776 	4800 	26320 	2464 	1616 	6784 	0 	0
	Vert 	91136 	10752 	20736 	44032 	5824 	6208 	13040 	1472 	1136 	2784 	0 	0
32x32 	None 	183808 	44800 	28160 	292736 	41216 	26560 	69584 	10304 	7680 	23152 	0 	0
	Horz 	69952 	28352 	5952 	49600 	67968 	9408 	57552 	10720 	4416 	11536 	0 	0
	Vert 	56384 	5888 	8256 	36672 	8768 	10624 	21088 	2768 	2400 	4528 	0 	0
16x16 	None 	61440 	14192 	7040 	49424 	30176 	13664 	79088 	12448 	6240 	14816 	0 	0
	Horz 	30176 	5696 	3312 	22400 	12000 	5536 	24880 	13008 	4352 	14816 	0 	0
	Vert 	25616 	3200 	2720 	14336 	5584 	2960 	12560 	3472 	2832 	6688 	0 	0
8x8 	None 	5016 	668 	580 	3484 	1796 	1016 	4588 	2244 	1608 	4132 	0 	0
	Horz 	1320 	168 	204 	884 	540 	172 	996 	580 	364 	1280 	0 	0
	Vert 	880 	64 	88 	420 	180 	96 	452 	224 	200 	400 	0 	0
4x4 	None 	96 	12 	8 	60 	92 	44 	268 	136 	132 	348 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
