AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	20480 	768 	256 	4032 	256 	128 	1616 	112 	96 	928 	0 	0
	Horz 	2816 	256 	0 	1280 	64 	0 	144 	48 	0 	0 	0 	0
	Vert 	1024 	2560 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	68864 	18176 	6144 	86912 	9920 	8320 	35696 	2832 	2576 	8112 	0 	0
	Horz 	39424 	32256 	9216 	86080 	13440 	7232 	30288 	3776 	1200 	6464 	0 	0
	Vert 	14080 	7936 	5120 	42624 	4928 	7168 	14208 	768 	464 	1520 	0 	0
32x32 	None 	52992 	37504 	21568 	672000 	117888 	110208 	408368 	46672 	27760 	74640 	0 	0
	Horz 	26560 	21568 	10688 	456192 	148544 	87232 	447808 	62896 	30864 	104768 	0 	0
	Vert 	11648 	9280 	6720 	330624 	75712 	124288 	415824 	31744 	55568 	101536 	0 	0
16x16 	None 	10448 	7744 	4688 	284768 	99328 	107520 	585920 	62272 	64848 	157712 	0 	0
	Horz 	4192 	2832 	2176 	132928 	59552 	42880 	297824 	79136 	32352 	133184 	0 	0
	Vert 	2576 	1664 	1360 	89136 	29968 	48464 	258800 	29824 	61376 	130336 	0 	0
8x8 	None 	320 	356 	132 	17360 	7200 	7396 	50576 	39928 	12748 	46204 	0 	0
	Horz 	20 	88 	12 	1928 	964 	724 	7876 	2876 	1452 	8792 	0 	0
	Vert 	36 	76 	12 	1400 	528 	1068 	7260 	1400 	2864 	8580 	0 	0
4x4 	None 	8 	8 	4 	176 	60 	108 	848 	308 	296 	1936 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
