AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	123136 	256 	0 	13504 	2112 	128 	1072 	160 	48 	896 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	185088 	0 	0 	41088 	11072 	2432 	11296 	2320 	1680 	6144 	0 	0
	Horz 	2048 	0 	0 	384 	0 	0 	96 	0 	16 	272 	0 	0
	Vert 	7424 	256 	0 	3904 	128 	0 	320 	0 	0 	0 	0 	0
32x32 	None 	33280 	0 	0 	71296 	13632 	12352 	42496 	8128 	8592 	20848 	0 	0
	Horz 	960 	0 	0 	6016 	6848 	2048 	12096 	3280 	2304 	5104 	0 	0
	Vert 	1024 	0 	0 	10752 	3264 	4352 	17088 	3072 	4336 	6352 	0 	0
16x16 	None 	2032 	0 	0 	19136 	6384 	6624 	33616 	7760 	7136 	11744 	0 	0
	Horz 	432 	0 	0 	3648 	5392 	1680 	7888 	8064 	2512 	9200 	0 	0
	Vert 	336 	0 	0 	4848 	1872 	2304 	9296 	2592 	4000 	5328 	0 	0
8x8 	None 	120 	0 	0 	1024 	948 	548 	4188 	2500 	1568 	3276 	0 	0
	Horz 	24 	0 	0 	96 	140 	80 	772 	364 	256 	1424 	0 	0
	Vert 	12 	0 	0 	116 	76 	96 	736 	276 	244 	944 	0 	0
4x4 	None 	4 	0 	0 	60 	60 	60 	608 	300 	188 	556 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
