AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	8960 	0 	0 	3200 	1984 	64 	3456 	688 	688 	2464 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	14848 	0 	0 	1792 	64 	320 	2576 	32 	64 	272 	0 	0
64x64 	None 	93440 	256 	0 	24704 	5696 	1856 	8352 	1056 	672 	2976 	0 	0
	Horz 	11520 	256 	0 	8576 	2304 	320 	1120 	176 	48 	256 	0 	0
	Vert 	7680 	256 	0 	3392 	832 	448 	688 	112 	112 	304 	0 	0
32x32 	None 	52352 	128 	640 	42624 	3200 	3072 	2208 	336 	192 	656 	0 	0
	Horz 	16960 	0 	128 	10496 	14208 	704 	2544 	368 	112 	176 	0 	0
	Vert 	6912 	256 	256 	5440 	256 	1152 	976 	32 	256 	144 	0 	0
16x16 	None 	4160 	80 	272 	2880 	1840 	1216 	2720 	288 	896 	576 	0 	0
	Horz 	1616 	48 	160 	1824 	1072 	384 	448 	576 	128 	2240 	0 	0
	Vert 	1216 	0 	64 	1040 	464 	704 	976 	96 	848 	1056 	0 	0
8x8 	None 	196 	0 	8 	432 	148 	44 	184 	76 	56 	720 	0 	0
	Horz 	48 	0 	8 	196 	100 	16 	80 	12 	8 	432 	0 	0
	Vert 	36 	0 	0 	64 	12 	4 	12 	8 	8 	352 	0 	0
4x4 	None 	8 	0 	0 	28 	12 	0 	12 	0 	8 	128 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
