AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	78592 	512 	0 	6848 	1920 	512 	7408 	1376 	1088 	3120 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	33024 	0 	0 	384 	256 	64 	1856 	208 	128 	944 	0 	0
64x64 	None 	115200 	256 	0 	13248 	3008 	320 	4144 	1024 	608 	1456 	0 	0
	Horz 	11264 	256 	0 	2560 	1024 	64 	368 	0 	0 	80 	0 	0
	Vert 	3840 	0 	0 	704 	0 	0 	64 	0 	0 	0 	0 	0
32x32 	None 	30848 	384 	64 	24448 	640 	576 	1952 	304 	240 	640 	0 	0
	Horz 	15168 	192 	128 	3648 	4032 	384 	2512 	80 	64 	480 	0 	0
	Vert 	4544 	128 	0 	896 	128 	192 	624 	64 	16 	128 	0 	0
16x16 	None 	5056 	176 	96 	2176 	912 	512 	3824 	272 	368 	1120 	0 	0
	Horz 	2768 	208 	48 	864 	288 	208 	1264 	576 	320 	3344 	0 	0
	Vert 	2240 	96 	112 	624 	160 	160 	688 	32 	224 	1040 	0 	0
8x8 	None 	468 	48 	48 	228 	120 	60 	616 	92 	88 	728 	0 	0
	Horz 	124 	36 	4 	68 	32 	0 	176 	20 	12 	444 	0 	0
	Vert 	100 	8 	8 	44 	16 	8 	68 	20 	12 	292 	0 	0
4x4 	None 	28 	4 	4 	28 	8 	12 	68 	12 	16 	88 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
