AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	1662464 	24832 	39936 	127936 	3840 	5056 	21424 	960 	1024 	3856 	0 	0
	Horz 	98304 	3584 	2816 	7616 	448 	448 	1360 	656 	48 	432 	0 	0
	Vert 	1024 	113664 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	1708032 	91904 	147712 	349248 	10624 	13056 	29392 	1984 	784 	3744 	0 	0
	Horz 	230400 	42496 	29184 	104704 	6208 	3456 	13008 	1040 	336 	1552 	0 	0
	Vert 	323584 	30976 	84736 	170624 	4672 	11584 	17488 	992 	512 	1744 	0 	0
32x32 	None 	354752 	62976 	84096 	560512 	27584 	35712 	90464 	5600 	3520 	9856 	0 	0
	Horz 	55488 	15360 	12096 	114240 	26688 	12864 	59136 	6816 	2416 	7216 	0 	0
	Vert 	72576 	9344 	20352 	128704 	14400 	33472 	76864 	2880 	4816 	8368 	0 	0
16x16 	None 	22304 	3632 	5632 	59120 	16000 	17136 	109632 	6080 	6064 	15152 	0 	0
	Horz 	4144 	1008 	976 	14480 	5888 	3936 	31552 	6624 	3584 	13760 	0 	0
	Vert 	3216 	800 	1312 	15472 	3328 	6384 	33728 	3888 	6624 	14624 	0 	0
8x8 	None 	848 	216 	260 	2804 	1372 	868 	5848 	3032 	1224 	5744 	0 	0
	Horz 	48 	28 	36 	400 	204 	168 	1020 	312 	172 	888 	0 	0
	Vert 	100 	8 	12 	384 	120 	172 	1016 	268 	240 	1072 	0 	0
4x4 	None 	4 	4 	4 	44 	16 	24 	84 	12 	12 	160 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
