AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	491520 	1536 	256 	38592 	5248 	1664 	7264 	768 	368 	3696 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	195072 	0 	0 	28352 	3776 	2304 	7552 	576 	496 	3280 	0 	0
	Horz 	3840 	256 	0 	2432 	256 	0 	1664 	64 	96 	864 	0 	0
	Vert 	256 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
32x32 	None 	25024 	0 	0 	16640 	640 	320 	1664 	192 	112 	592 	0 	0
	Horz 	13760 	0 	0 	11072 	2560 	1408 	5088 	1184 	560 	2000 	0 	0
	Vert 	960 	0 	0 	512 	128 	64 	288 	32 	16 	240 	0 	0
16x16 	None 	3888 	0 	0 	2432 	352 	144 	1776 	192 	176 	576 	0 	0
	Horz 	8288 	0 	0 	3696 	1296 	272 	2496 	384 	208 	2976 	0 	0
	Vert 	544 	0 	0 	528 	112 	64 	432 	16 	32 	288 	0 	0
8x8 	None 	524 	0 	0 	368 	152 	16 	160 	96 	0 	240 	0 	0
	Horz 	200 	0 	0 	212 	52 	12 	92 	52 	24 	152 	0 	0
	Vert 	40 	0 	0 	52 	12 	0 	12 	0 	8 	60 	0 	0
4x4 	None 	20 	0 	0 	8 	8 	4 	40 	12 	0 	92 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
